"Subject","Email.1.Open.Email.Time","Email.2.Open.Email.Time","Email.3.Open.Email.Time","Email.4.Open.Email.Time","Email.5.Open.Email.Time","Email.6.Open.Email.Time","Email.7.Open.Email.Time","Email.8.Open.Email.Time","Email.1.Ending.Time","Email.2.Ending.Time","Email.3.Ending.Time","Email.4.Ending.Time","Email.5.Ending.Time","Email.6.Ending.Time","Email.7.Ending.Time","Email.8.Ending.Time"
"T003",1368,331,1771,2193,888,NA,2449,2697,1619,758,2044,2330,1213,NA,2617,2854
"T005",NA,1469,2305,1897,311,1110,739,NA,NA,1767,2593,2159,574,1295,962,NA
"T006",2039,1683,1234,2532,308,866,2332,537,2170,1952,1508,2658,423,1030,2425,773
"T009",1269,837,NA,2134,322,2515,1678,NA,1505,1154,NA,2345,657,2627,2008,NA
"T016",1789,834,1095,1652,606,1949,1292,2067,1946,1092,1282,1786,830,2064,1634,2187
"T019",1979,2677,2220,906,1309,2837,2533,1619,2216,2834,2499,1305,1616,2911,2674,1975
"T031",1549,335,2349,NA,1193,NA,1969,746,1869,577,2742,NA,1358,NA,2144,1059
"T032",306,2624,2186,643,1130,NA,1891,1458,556,2902,2444,1020,1299,NA,2039,1766
"T046",1567,1377,944,610,1917,2034,1684,2169,1681,1563,1374,940,2031,2166,1913,2299
"T047",1481,1675,2233,671,1897,2078,1273,942,1671,1894,2416,938,2075,2229,1477,1269
"T061",654,1612,1949,2414,2165,307,1182,1400,999,1766,2084,2540,2225,509,1311,1531
"T063",1566,2098,1101,810,2488,1893,586,342,1793,2368,1398,995,2711,1963,653,498
"T064",1512,310,1088,NA,1991,680,2438,NA,1832,513,1359,NA,2213,974,2655,NA
"T065",1149,1735,2397,532,346,2175,1445,820,1320,1979,2569,675,440,2324,1596,1035
"T066",307,996,2064,2460,NA,1762,NA,1362,889,1295,2366,2668,NA,1896,NA,1570
"T077",2102,1343,1917,1732,2236,648,1107,1559,2233,1556,2099,1914,2375,1102,1339,1729
"T078",1171,930,2414,2188,1645,1920,610,1368,1364,1166,2715,2410,1916,2185,926,1641
"T079",854,1575,1121,607,1408,1807,1000,1337,996,1804,1334,843,1572,1890,1116,1405
"T080",884,1472,685,1214,1113,1319,1387,972,968,1615,880,1316,1211,1384,1469,1110
"T082",884,1472,685,1214,1113,1319,1387,972,968,1615,880,1316,1211,1384,1469,1110
"T083",1547,638,1881,2520,1122,915,1425,2392,1877,909,2389,2730,1421,1117,1542,2510
"T084",1428,1214,608,842,1328,1495,1008,731,1491,1325,726,997,1425,1742,1211,838
"T091",307,675,1726,2557,2270,1067,1550,1312,489,903,1963,2731,2423,1217,1649,1372
"T092",1901,847,310,534,2084,2334,1087,1523,1992,955,439,692,2164,2527,1375,1790
"T093",740,1162,1622,2076,315,NA,NA,2546,1006,1460,1948,2415,607,NA,NA,2719
"T096",1232,2386,901,1573,2147,327,1871,703,1351,2552,1063,1737,2301,585,1960,767
"T097",NA,2650,2340,480,889,1260,1663,2012,NA,2816,2545,731,1156,1495,1849,2231
"T098",2159,2360,1524,943,310,492,1776,1139,2273,2482,1643,1051,413,759,1973,1366
"T106",2277,1026,2827,1755,1503,2068,610,2641,2637,1494,2999,2064,1751,2274,1022,2823
"T108",1361,611,1187,1486,1006,1750,1603,1830,1472,1002,1357,1598,1163,1826,1747,1899
"T112",1330,2406,1767,2159,681,2032,1528,925,1525,2803,2029,2402,920,2156,1748,1324
"T121",1517,1192,2139,581,890,2545,306,1841,1656,1380,2456,695,1100,2623,487,1953
"T122",NA,2669,1308,1651,2324,914,321,2037,NA,2777,1570,1884,2483,1059,727,2194
"T124",1395,2591,314,2133,NA,855,1127,1839,1746,2804,675,2396,NA,972,1213,1956
"T126",830,1087,314,607,2072,1640,1320,1786,937,1235,474,722,2238,1710,1455,1886
"T128",864,1356,308,2376,616,NA,NA,1822,1207,1686,484,2575,765,NA,NA,2257
"T130",2154,2423,NA,931,1583,307,1211,1857,2345,2586,NA,1115,1751,754,1423,1994
"T132",1235,1688,306,690,1465,2142,953,1888,1326,1803,482,821,1554,2223,1114,1964
"T136",711,1633,1083,1326,1888,923,1248,1552,919,1885,1244,1549,2027,1079,1323,1629
"T138",1974,2207,1218,994,1496,1814,1629,801,2204,2432,1493,1215,1626,1971,1806,987
"T139",2515,2094,833,2705,1717,2367,1905,1380,2702,2363,1371,2933,1901,2512,2090,1714
"T140",608,851,2033,1096,1340,1761,1911,1501,847,1092,2264,1336,1497,1908,2029,1757
"T141",1600,2018,1141,NA,872,2767,2712,2444,2015,2438,1597,NA,1136,2837,2764,2708
"T144",1956,866,1263,1737,1501,2223,1074,2382,2220,1069,1497,1952,1734,2377,1259,2489
"T145",1111,1500,1646,1360,605,742,958,1252,1248,1642,1810,1497,738,954,1107,1357
"T151",1819,1240,2212,1475,703,309,1025,2433,2027,1396,2359,1614,886,450,1120,2489
"T152",1919,2190,1072,2485,1421,311,759,1717,2108,2313,1351,2863,1602,608,887,1779
"T153",2609,554,NA,1669,306,1296,2176,882,2815,706,NA,1993,442,1588,2458,1218
"T154",1401,2642,973,1884,NA,306,2367,625,1753,2814,1230,2240,NA,521,2494,863
"T156",1897,626,921,308,2273,2502,1627,1295,2100,804,1159,516,2420,2572,1708,1419
"T157",311,1410,1745,606,NA,2187,898,2534,453,1615,2048,797,NA,2353,1255,2643
"T160",NA,1492,NA,2215,796,308,1116,1888,NA,1796,NA,2608,996,590,1325,2044
"T162",1993,314,631,2422,1005,1570,1316,1810,2242,476,856,2666,1166,1633,1484,1907
"T166",907,2151,1667,1981,1288,1137,1593,1499,1133,2379,1978,2148,1496,1285,1664,1590
"T172",2080,982,1839,608,2277,2394,1275,1646,2274,1272,2077,978,2391,2582,1643,1836
"T173",1651,831,957,1236,1144,1566,1378,607,1733,953,1141,1375,1233,1647,1562,817
"T175",1054,646,881,981,1283,1117,1360,1240,1114,874,972,1051,1357,1237,1404,1280
"T176",824,944,1022,751,663,1342,1222,1104,907,1018,1098,820,746,1387,1338,1219
"T178",791,1478,607,1667,1239,1366,985,1800,982,1664,788,1797,1363,1475,1236,1953
